# detector_id x y z
0 253.706700 0.000000 -179.639100
1 253.646325 5.534582 -179.639100
2 253.465227 11.066531 -179.639100
3 253.163494 16.593212 -179.639100
4 252.741269 22.111996 -179.639100
5 252.198753 27.620256 -179.639100
6 251.536204 33.115369 -179.639100
7 250.753937 38.594722 -179.639100
8 249.852325 44.055706 -179.639100
9 248.831797 49.495722 -179.639100
10 247.692838 54.912180 -179.639100
11 246.435991 60.302503 -179.639100
12 245.061854 65.664126 -179.639100
13 243.571080 70.994496 -179.639100
14 241.964380 76.291076 -179.639100
15 240.242518 81.551346 -179.639100
16 238.406314 86.772802 -179.639100
17 236.456641 91.952959 -179.639100
18 234.394427 97.089351 -179.639100
19 232.220655 102.179534 -179.639100
20 229.936358 107.221085 -179.639100
21 227.542624 112.211604 -179.639100
22 225.040591 117.148717 -179.639100
23 222.431452 122.030073 -179.639100
24 219.716447 126.853350 -179.639100
25 216.896869 131.616251 -179.639100
26 213.974061 136.316511 -179.639100
27 210.949411 140.951890 -179.639100
28 207.824362 145.520185 -179.639100
29 204.600399 150.019220 -179.639100
30 201.279058 154.446853 -179.639100
31 197.861919 158.800979 -179.639100
32 194.350608 163.079523 -179.639100
33 190.746796 167.280451 -179.639100
34 187.052200 171.401762 -179.639100
35 183.268577 175.441495 -179.639100
36 179.397728 179.397728 -179.639100
37 175.441495 183.268577 -179.639100
38 171.401762 187.052200 -179.639100
39 167.280451 190.746796 -179.639100
40 163.079523 194.350608 -179.639100
41 158.800979 197.861919 -179.639100
42 154.446853 201.279058 -179.639100
43 150.019220 204.600399 -179.639100
44 145.520185 207.824362 -179.639100
45 140.951890 210.949411 -179.639100
46 136.316511 213.974061 -179.639100
47 131.616251 216.896869 -179.639100
48 126.853350 219.716447 -179.639100
49 122.030073 222.431452 -179.639100
50 117.148717 225.040591 -179.639100
51 112.211604 227.542624 -179.639100
52 107.221085 229.936358 -179.639100
53 102.179534 232.220655 -179.639100
54 97.089351 234.394427 -179.639100
55 91.952959 236.456641 -179.639100
56 86.772802 238.406314 -179.639100
57 81.551346 240.242518 -179.639100
58 76.291076 241.964380 -179.639100
59 70.994496 243.571080 -179.639100
60 65.664126 245.061854 -179.639100
61 60.302503 246.435991 -179.639100
62 54.912180 247.692838 -179.639100
63 49.495722 248.831797 -179.639100
64 44.055706 249.852325 -179.639100
65 38.594722 250.753937 -179.639100
66 33.115369 251.536204 -179.639100
67 27.620256 252.198753 -179.639100
68 22.111996 252.741269 -179.639100
69 16.593212 253.163494 -179.639100
70 11.066531 253.465227 -179.639100
71 5.534582 253.646325 -179.639100
72 0.000000 253.706700 -179.639100
73 -5.534582 253.646325 -179.639100
74 -11.066531 253.465227 -179.639100
75 -16.593212 253.163494 -179.639100
76 -22.111996 252.741269 -179.639100
77 -27.620256 252.198753 -179.639100
78 -33.115369 251.536204 -179.639100
79 -38.594722 250.753937 -179.639100
80 -44.055706 249.852325 -179.639100
81 -49.495722 248.831797 -179.639100
82 -54.912180 247.692838 -179.639100
83 -60.302503 246.435991 -179.639100
84 -65.664126 245.061854 -179.639100
85 -70.994496 243.571080 -179.639100
86 -76.291076 241.964380 -179.639100
87 -81.551346 240.242518 -179.639100
88 -86.772802 238.406314 -179.639100
89 -91.952959 236.456641 -179.639100
90 -97.089351 234.394427 -179.639100
91 -102.179534 232.220655 -179.639100
92 -107.221085 229.936358 -179.639100
93 -112.211604 227.542624 -179.639100
94 -117.148717 225.040591 -179.639100
95 -122.030073 222.431452 -179.639100
96 -126.853350 219.716447 -179.639100
97 -131.616251 216.896869 -179.639100
98 -136.316511 213.974061 -179.639100
99 -140.951890 210.949411 -179.639100
100 -145.520185 207.824362 -179.639100
101 -150.019220 204.600399 -179.639100
102 -154.446853 201.279058 -179.639100
103 -158.800979 197.861919 -179.639100
104 -163.079523 194.350608 -179.639100
105 -167.280451 190.746796 -179.639100
106 -171.401762 187.052200 -179.639100
107 -175.441495 183.268577 -179.639100
108 -179.397728 179.397728 -179.639100
109 -183.268577 175.441495 -179.639100
110 -187.052200 171.401762 -179.639100
111 -190.746796 167.280451 -179.639100
112 -194.350608 163.079523 -179.639100
113 -197.861919 158.800979 -179.639100
114 -201.279058 154.446853 -179.639100
115 -204.600399 150.019220 -179.639100
116 -207.824362 145.520185 -179.639100
117 -210.949411 140.951890 -179.639100
118 -213.974061 136.316511 -179.639100
119 -216.896869 131.616251 -179.639100
120 -219.716447 126.853350 -179.639100
121 -222.431452 122.030073 -179.639100
122 -225.040591 117.148717 -179.639100
123 -227.542624 112.211604 -179.639100
124 -229.936358 107.221085 -179.639100
125 -232.220655 102.179534 -179.639100
126 -234.394427 97.089351 -179.639100
127 -236.456641 91.952959 -179.639100
128 -238.406314 86.772802 -179.639100
129 -240.242518 81.551346 -179.639100
130 -241.964380 76.291076 -179.639100
131 -243.571080 70.994496 -179.639100
132 -245.061854 65.664126 -179.639100
133 -246.435991 60.302503 -179.639100
134 -247.692838 54.912180 -179.639100
135 -248.831797 49.495722 -179.639100
136 -249.852325 44.055706 -179.639100
137 -250.753937 38.594722 -179.639100
138 -251.536204 33.115369 -179.639100
139 -252.198753 27.620256 -179.639100
140 -252.741269 22.111996 -179.639100
141 -253.163494 16.593212 -179.639100
142 -253.465227 11.066531 -179.639100
143 -253.646325 5.534582 -179.639100
144 -253.706700 0.000000 -179.639100
145 -253.646325 -5.534582 -179.639100
146 -253.465227 -11.066531 -179.639100
147 -253.163494 -16.593212 -179.639100
148 -252.741269 -22.111996 -179.639100
149 -252.198753 -27.620256 -179.639100
150 -251.536204 -33.115369 -179.639100
151 -250.753937 -38.594722 -179.639100
152 -249.852325 -44.055706 -179.639100
153 -248.831797 -49.495722 -179.639100
154 -247.692838 -54.912180 -179.639100
155 -246.435991 -60.302503 -179.639100
156 -245.061854 -65.664126 -179.639100
157 -243.571080 -70.994496 -179.639100
158 -241.964380 -76.291076 -179.639100
159 -240.242518 -81.551346 -179.639100
160 -238.406314 -86.772802 -179.639100
161 -236.456641 -91.952959 -179.639100
162 -234.394427 -97.089351 -179.639100
163 -232.220655 -102.179534 -179.639100
